duration,c_0001,c_0002,v_149,ob_reason,ob_age,ob_realEstate,ob_debt,ob_invest,ob_saving,ob_feelingRisk,ob_investPriority,ob_scenario,check_portfolioId,sim_ethnicity,sim_general,sim_gender,sim_age,sim_language,trust_general,trust_contact,trust_relationship,trust_care,trust_understand,trust_warmth,competence_general,competence_capable,competence_skillful,competence_intelligent,bene_values,bene_honest,bene_respect,li_implement,li_improvements,li_better,lic_amount,sat_happy,sat_right,sat_satisfied,benef_hurt,benef_needs,benef_help,benef_important,benef_welfare,recomm_propensity,loy_choose,loy_best,loy_loyal,lif_portion,learn_learn,learn_improve,learn_skills,att_bestInterest,att_trustworthy,att_ownInterest,att_commissions,fwb_situation,fwb_left,fwb_behind,person_reserved,person_lazy,person_stress,person_artistic,person_sociable,person_fault,person_through,person_nervous,person_imagination,patience154,patience185,patience202,patience210,patience215,patience206,patience193,patience197,patience189,patience169,patience177,patience181,patience173,patience161,patience165,patience158,patience125,patience139,patience146,patience150,patience143,patience132,patience136,patience129,patience112,patience119,patience122,patience116,patience106,patience109,patience103,patience_general,literacy1,literacy2,literacy3,literacy4,literacy5,literacy6,literacy7,check_portfolioType,check_advisorType,dem_gender,dem_ethnicity,dem_usResidence,dem_financialAdvisorUsage,dem_education,income,cond_race,cond_matching,cond,person_trusting
499,0.375,2,60de09e53c9f27c2d82ceb2b,3,54,0,0,500,500,1,3,2,none given,2,2,2,4,5,2,5,2,2,2,2,2,5,4,5,2,2,2,2,2,2,20,2,2,2,5,2,2,2,2,10,2,2,2,25,2,2,2,5,4,4,5,5,5,4,2,2,2,2,2,2,2,6,6,2,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,2,-77,-77,-77,-77,-77,-77,-77,2,-77,-77,-77,1,1,-77,6,3,1,3,3,2,2,1,2,2,2,5,1,2,5,40000,white,matching,"white, matching",2
331,0.375,2,5dd4074feab0423daf012f92,4,24,0,11000,500,200,1,3,2,I didn't receive a portfolio ID,4,4,4,4,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,45,6,6,6,6,6,6,6,6,65,6,6,6,54,6,6,6,6,6,6,6,1,6,1,6,1,7,1,6,1,7,5,7,1,1,1,2,-77,1,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,4,2,2,2,2,2,1,1,2,1,2,5,1,2,3,7000,white,matching,"white, matching",6
678,0,1,5d9be6d4d6e5640016b915df,3,44,0,100000,500,0,1,1,1,2,7,1,1,3,7,4,4,3,5,5,7,7,7,7,7,7,7,7,4,5,5,75,6,6,6,7,7,7,7,7,100,7,7,7,20,7,7,7,5,5,6,7,7,1,7,7,5,3,2,1,1,4,7,7,1,1,1,1,1,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,5,2,1,3,2,2,3,2,1,1,2,5,1,2,6,29000,white,matching,"white, matching",1
701,0.5,2,5d23ac815173fe001528bcd6,3,43,0,15000,500,300,2,3,2,2,7,3,1,2,5,5,4,3,5,4,2,6,7,7,7,6,4,6,4,5,2,45,5,5,5,5,5,4,4,3,50,5,5,3,50,5,5,5,5,4,4,4,2,7,4,5,1,5,1,6,2,6,1,4,1,1,1,1,1,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,4,3,2,1,3,3,3,3,2,2,2,5,1,2,5,750000,white,matching,"white, matching",2
456,0.375,1,631b4cf562dabf8337e59f1b,3,33,400000,300000,20000,1000,2,2,2,I didn't or the video reset itself before I could get it.,6,6,7,6,6,4,4,2,4,5,5,6,6,6,6,4,4,6,4,5,6,75,6,6,6,2,5,4,4,4,60,5,6,7,75,6,6,5,4,3,5,6,3,6,4,3,5,2,4,5,5,7,7,6,1,1,2,-77,-77,-77,2,-77,1,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,5,3,1,3,3,2,3,1,2,2,1,5,1,2,5,70000,white,matching,"white, matching",3
629,0.25,1,5d498ea0faa15b001acd4a5d,2,72,450000,200000,5000,500,1,2,2,didnt receive one,1,3,1,1,7,6,6,5,6,6,5,7,7,7,7,6,6,6,5,6,6,5,6,6,6,6,6,6,6,6,94,6,6,6,4,6,7,6,6,6,1,3,1,6,1,5,1,5,6,6,1,6,1,5,1,1,1,1,1,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,6,3,3,3,2,3,1,1,1,1,2,5,1,2,4,75000,white,matching,"white, matching",6
605,0.375,2,628d8714727e2811c42dd485,1,20,0,0,1000,800,3,1,2,2,7,5,7,3,7,5,6,2,2,6,7,7,6,6,7,6,5,7,5,7,6,50,6,6,6,5,4,4,4,2,50,4,4,2,0,6,7,7,6,5,5,6,5,3,4,6,6,4,3,5,4,6,7,7,1,1,2,-77,-77,-77,1,1,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,6,3,1,3,3,2,2,1,2,2,1,5,1,2,3,0,white,matching,"white, matching",6
2129,0.125,2,5ac4fbad1667e40001d8615e,2,64,350000,53000,2000,500,1,1,2,2,6,4,1,2,7,6,5,4,6,6,5,6,6,6,6,5,6,5,6,6,5,50,6,6,6,5,6,4,6,5,90,6,5,5,25,6,6,6,5,5,4,4,4,5,1,5,1,5,3,4,2,7,2,4,2,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,2,-77,-77,-77,-77,-77,-77,-77,2,-77,-77,-77,2,-77,1,6,3,1,3,3,2,1,1,1,1,2,5,1,2,5,25000,white,matching,"white, matching",4
571,0.375,1,631b3f662a80d30582815536,1,42,200000,80000,20000,1000,2,1,3,Balanced Growth,6,5,7,6,6,5,4,2,2,5,3,6,6,5,5,3,3,5,5,4,4,95,3,4,4,4,4,1,3,3,25,3,3,2,5,4,5,4,6,6,3,6,6,2,7,5,6,3,6,3,3,5,5,5,2,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,1,1,2,-77,1,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,5,3,1,2,3,2,2,1,2,2,1,5,1,1,6,70000,white,matching,"white, matching",6
2245,0.875,1,5da6139c002c29001335b5a2,3,28,0,0,50000,2500,3,4,3,5da6139c002c29001335b5a2,7,4,7,5,3,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,100,7,7,7,7,7,7,7,7,71,7,7,7,100,7,7,7,5,6,6,4,1,6,1,5,1,5,2,2,1,6,2,6,2,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,2,-77,-77,-77,-77,-77,-77,-77,2,-77,-77,-77,1,2,-77,7,3,1,3,3,2,2,1,3,1,1,5,1,2,5,65000,white,matching,"white, matching",6
