"lfdn";"external_lfdn";"tester";"dispcode";"lastpage";"quality";"duration";"s_0001";"c_0001";"c_0002";"v_149";"ob_reason";"ob_age";"ob_realEstate";"ob_debt";"ob_invest";"ob_saving";"ob_feelingRisk";"ob_investPriority";"ob_scenario";"stimulus_played2";"stimulus_played1";"stimulus_played4";"stimulus_played3";"stimulus_played6";"stimulus_played5";"check_portfolioId";"sim_ethnicity";"sim_general";"sim_gender";"sim_age";"sim_language";"trust_general";"trust_contact";"trust_relationship";"trust_care";"trust_understand";"trust_warmth";"competence_general";"competence_capable";"competence_skillful";"competence_intelligent";"bene_values";"bene_honest";"bene_respect";"li_implement";"li_improvements";"li_better";"lic_amount";"sat_happy";"sat_right";"sat_satisfied";"benef_hurt";"benef_needs";"benef_help";"benef_important";"benef_welfare";"recomm_propensity";"loy_choose";"loy_best";"loy_loyal";"lif_portion";"learn_learn";"learn_improve";"learn_skills";"att_bestInterest";"att_trustworthy";"att_ownInterest";"att_commissions";"fwb_situation";"fwb_left";"fwb_behind";"person_reserved";"person_trsuting";"person_lazy";"person_stress";"person_artistic";"person_sociable";"person_fault";"person_through";"person_nervous";"person_imagination";"patience154";"patience185";"patience202";"patience210";"patience215";"patience206";"patience193";"patience197";"patience189";"patience169";"patience177";"patience181";"patience173";"patience161";"patience165";"patience158";"patience125";"patience139";"patience146";"patience150";"patience143";"patience132";"patience136";"patience129";"patience112";"patience119";"patience122";"patience116";"patience106";"patience109";"patience103";"patience_general";"literacy1";"literacy2";"literacy3";"literacy4";"literacy5";"literacy6";"literacy7";"check_portfolioType";"check_advisorType";"dem_gender";"dem_ethnicity";"dem_usResidence";"dem_financialAdvisorUsage";"dem_education";"income";"browser";"referer";"device_type";"quota";"quota_assignment";"quota_rejected_id";"page_history";"hflip";"vflip";"output_mode";"javascript";"flash";"session_id";"language";"cleaned";"ats";"datetime";"date_of_last_access";"date_of_first_mail";"rts6047382";"rts6047383";"rts6047385";"rts6047387";"rts6047388";"rts6047389";"rts6047390";"rts6047391";"rts6047392";"rts6047393";"rts6047394";"rts6047395";"rts6047396";"rts6047397";"rts6047398";"rts6047401";"rts6047403";"rts6047406";"rts6047408";"rts6047411";"rts6047413";"rts6047414";"rts6047415";"rts6047416";"rts6047417";"rts6047418";"rts6047419";"rts6047420";"rts6047421";"rts6047422";"rts6047424";"rts6047426";"rts6047428";"rts6047430";"rts6047432";"rts6047434";"rts6047436";"rts6047438";"rts6047440";"rts6047442";"rts6047444";"rts6047446";"rts6047448";"rts6047450";"rts6047452";"rts6047454";"rts6047456";"rts6047458";"rts6047460";"rts6047462";"rts6047464";"rts6047466";"rts6047468";"rts6047470";"rts6047472";"rts6047474";"rts6047476";"rts6047478";"rts6047480";"rts6047482";"rts6047483";"rts6047484";"rts6047485";"rts6047486"
"1";"0";"0";"31";"6047487";"-77";"1515";"-77";"0.375";"2";"62d59f882a1a29cea439e113";"3";"29";"0";"0";"1000";"100";"1";"3";"2";"-77";"-77";"1";"-77";"-77";"-77";"2";"6";"7";"2";"2";"6";"6";"5";"4";"6";"6";"6";"7";"7";"7";"7";"6";"6";"6";"6";"7";"7";"50";"7";"7";"7";"6";"6";"7";"7";"7";"80";"6";"6";"6";"50";"7";"7";"7";"7";"7";"1";"6";"1";"1";"1";"6";"6";"1";"1";"2";"2";"3";"6";"3";"6";"2";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"2";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"1";"1";"2";"-77";"-77";"-77";"-77";"6";"1";"2";"3";"3";"3";"1";"2";"1";"1";"1";"2";"1";"2";"6";"2000";"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36";"https://app.prolific.co/";"0";"0";"-66";"0";"6047382,6047383,6047384,6047386,6047387,6047388,6047389,6047390,6047391,6047392,6047392,6047392,6047393,6047394,6047395,6047396,6047397,6047398,6047399,6047404,6047405,6047406,6047399,6047404,6047405,6047406,6047407,6047409,6047414,6047415,6047416,6047417,6047418,6047419,6047420,6047421,6047422,6047423,6047453,6047454,6047455,6047469,6047470,6047471,6047472,6047473,6047474,6047475,6047477,6047483,6047484,6047485,6047486,6047487";"0";"0";"0";"-77";"-77";"0a94afe093e7cfb11503ee6ab600f6ea";"1";"0";"1662992623";"2022-09-12 14:23:43";"2022-09-12 14:48:58";"0000-00-00 00:00:00";"14";"23";"0";"28";"33";"47";"66";"114";"131";"157";"170";"189";"200";"219";"397";"0";"0";"513";"0";"0";"0";"523";"529";"602";"692";"894";"908";"912";"1111";"1170";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1186";"0";"0";"0";"0";"0";"0";"0";"1197";"1206";"1214";"0";"0";"0";"0";"1235";"1414";"1439";"1515"
"2";"0";"0";"31";"6047487";"-77";"970";"-77";"0.5";"3";"631c96dfb4cb08a8f94410c5";"3";"32";"0";"30000";"2000";"100";"3";"2";"2";"-77";"-77";"-77";"1";"-77";"-77";"Neutral ";"1";"3";"7";"4";"5";"4";"4";"4";"4";"5";"4";"5";"5";"5";"5";"4";"4";"4";"6";"5";"5";"30";"5";"5";"5";"4";"4";"4";"4";"4";"50";"4";"4";"4";"10";"6";"6";"6";"4";"4";"4";"5";"3";"4";"4";"5";"4";"4";"3";"4";"3";"2";"5";"4";"4";"2";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"2";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"2";"-77";"-77";"-77";"2";"-77";"1";"5";"3";"1";"3";"3";"2";"2";"1";"2";"3";"1";"2";"1";"2";"5";"60000";"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:104.0) Gecko/20100101 Firefox/104.0";"https://app.prolific.co/";"0";"0";"-66";"0";"6047382,6047383,6047384,6047385,6047386,6047388,6047389,6047390,6047391,6047392,6047393,6047394,6047395,6047396,6047397,6047398,6047399,6047404,6047405,6047407,6047408,6047409,6047414,6047415,6047416,6047417,6047418,6047419,6047420,6047421,6047422,6047423,6047453,6047454,6047455,6047469,6047470,6047471,6047477,6047478,6047479,6047481,6047482,6047483,6047484,6047485,6047486,6047487";"0";"1";"0";"-77";"-77";"ef74dc92a8a91c2852133a9f44171f82";"1";"0";"1662993363";"2022-09-12 14:36:03";"2022-09-12 14:52:13";"0000-00-00 00:00:00";"24";"32";"63";"0";"79";"109";"115";"129";"153";"168";"181";"194";"218";"236";"239";"0";"0";"0";"308";"0";"0";"333";"345";"400";"452";"583";"596";"599";"688";"737";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"746";"0";"0";"0";"0";"0";"0";"0";"749";"0";"0";"0";"755";"0";"757";"767";"918";"944";"970"
"3";"0";"0";"31";"6047487";"-77";"1271";"-77";"0.5";"4";"62dc1f9aed524ca6f84bc71d";"1";"32";"5000";"200";"100000";"2000";"3";"1";"3";"-77";"-77";"-77";"1";"-77";"-77";"2";"1";"1";"7";"3";"7";"7";"4";"4";"6";"6";"6";"7";"7";"7";"7";"7";"4";"7";"6";"6";"6";"20";"6";"6";"6";"4";"4";"4";"4";"4";"87";"4";"4";"4";"5";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"1";"1";"1";"1";"1";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"4";"3";"1";"1";"1";"3";"1";"2";"2";"1";"1";"2";"1";"2";"6";"100000";"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36";"https://app.prolific.co/";"0";"0";"-66";"0";"6047382,6047383,6047384,6047386,6047387,6047388,6047389,6047390,6047391,6047392,6047393,6047394,6047395,6047396,6047397,6047398,6047399,6047404,6047405,6047407,6047408,6047409,6047414,6047415,6047416,6047417,6047418,6047419,6047420,6047421,6047422,6047423,6047424,6047425,6047426,6047427,6047428,6047429,6047430,6047431,6047433,6047439,6047453,6047483,6047484,6047485,6047486,6047487";"1";"0";"0";"-77";"-77";"c24ff7ef572a689a2622bcc9c3e3cd11";"1";"0";"1662993642";"2022-09-12 14:40:42";"2022-09-12 15:01:53";"0000-00-00 00:00:00";"16";"28";"0";"52";"84";"100";"118";"241";"255";"269";"285";"310";"329";"348";"354";"0";"0";"0";"449";"0";"0";"460";"475";"539";"613";"775";"788";"794";"847";"884";"893";"906";"913";"920";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"938";"1103";"1122";"1271"
"4";"0";"0";"31";"6047487";"-77";"920";"-77";"0.375";"1";"5e6b034bffc1a90c3fe8c234";"1";"23";"0";"0";"5000";"500";"3";"1";"2";"-77";"-77";"1";"-77";"-77";"-77";"2";"7";"4";"7";"5";"5";"4";"5";"3";"1";"2";"1";"3";"3";"3";"5";"3";"2";"5";"4";"2";"2";"95";"1";"2";"2";"1";"2";"2";"2";"2";"15";"1";"2";"2";"1";"7";"7";"7";"3";"3";"6";"6";"1";"5";"3";"6";"6";"2";"6";"1";"5";"5";"6";"1";"7";"1";"1";"2";"-77";"-77";"-77";"2";"-77";"1";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"7";"3";"1";"3";"3";"4";"2";"1";"2";"2";"1";"2";"1";"2";"3";"39000";"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15";"https://app.prolific.co/studies/631f2cea724603af01cdeb68";"0";"0";"-66";"0";"6047382,6047383,6047384,6047385,6047386,6047388,6047389,6047390,6047391,6047392,6047393,6047394,6047395,6047396,6047397,6047398,6047399,6047404,6047405,6047406,6047407,6047409,6047414,6047415,6047416,6047417,6047418,6047419,6047420,6047421,6047422,6047423,6047424,6047425,6047426,6047427,6047433,6047434,6047435,6047437,6047438,6047439,6047453,6047483,6047484,6047485,6047486,6047487";"0";"1";"0";"-77";"-77";"629d5915402690b72187a9371db0542d";"1";"0";"1662993646";"2022-09-12 14:40:46";"2022-09-12 14:56:06";"0000-00-00 00:00:00";"29";"34";"232";"0";"246";"254";"258";"272";"278";"290";"303";"315";"333";"345";"348";"0";"0";"414";"0";"0";"0";"434";"444";"465";"532";"630";"636";"639";"714";"729";"735";"737";"0";"0";"0";"739";"0";"742";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"750";"890";"899";"920"
"6";"0";"0";"31";"6047487";"-77";"2203";"-77";"0.125";"4";"5d57062817ee8d0001cda0f6";"1";"37";"0";"0";"20";"100";"1";"1";"2";"-77";"1";"-77";"-77";"-77";"-77";"2";"1";"2";"1";"3";"7";"7";"4";"3";"7";"7";"4";"7";"7";"7";"7";"6";"7";"7";"7";"7";"7";"25";"7";"7";"7";"7";"7";"4";"7";"5";"50";"7";"5";"4";"40";"4";"5";"7";"7";"7";"2";"4";"1";"4";"2";"6";"3";"4";"5";"3";"3";"5";"5";"6";"5";"1";"1";"1";"1";"1";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"1";"3";"1";"3";"2";"3";"3";"3";"1";"1";"2";"2";"1";"2";"4";"48000";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36";"https://app.prolific.co/";"0";"0";"-66";"0";"6047382,6047383,6047384,6047386,6047387,6047388,6047389,6047390,6047391,6047392,6047393,6047394,6047395,6047396,6047397,6047398,6047399,6047400,6047402,6047403,6047404,6047409,6047414,6047415,6047416,6047417,6047418,6047419,6047420,6047421,6047422,6047423,6047424,6047425,6047426,6047427,6047428,6047429,6047430,6047431,6047433,6047439,6047453,6047483,6047484,6047485,6047486,6047487";"1";"1";"0";"-77";"-77";"dbabda91620dbeedb0f2d2f48c5edf55";"1";"0";"1662993925";"2022-09-12 14:45:25";"2022-09-12 15:22:08";"0000-00-00 00:00:00";"1087";"1115";"0";"1157";"1228";"1268";"1276";"1285";"1295";"1303";"1311";"1317";"1328";"1335";"1338";"0";"1401";"0";"0";"0";"0";"1410";"1428";"1482";"1626";"1768";"1813";"1821";"1886";"1936";"1941";"1950";"1962";"1967";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1978";"2146";"2168";"2203"
"7";"0";"0";"31";"6047487";"-77";"633";"-77";"0.875";"4";"5816176700b325000184dba6";"1";"29";"400000";"9000";"20000";"5000";"4";"4";"2";"-77";"-77";"-77";"-77";"-77";"1";"High risk, high return";"1";"6";"7";"5";"7";"7";"7";"5";"7";"7";"7";"7";"7";"7";"7";"7";"7";"7";"7";"7";"7";"80";"7";"7";"7";"7";"7";"7";"7";"7";"100";"7";"7";"7";"70";"7";"7";"7";"5";"7";"3";"6";"1";"7";"5";"7";"5";"1";"7";"1";"1";"4";"6";"1";"7";"2";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"1";"1";"2";"-77";"2";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"7";"3";"1";"3";"3";"2";"1";"3";"3";"2";"1";"2";"1";"2";"3";"200000";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36";"https://app.prolific.co/";"0";"0";"-66";"0";"6047382,6047383,6047384,6047386,6047387,6047388,6047389,6047390,6047391,6047392,6047393,6047394,6047395,6047396,6047397,6047398,6047399,6047404,6047409,6047410,6047412,6047413,6047414,6047414,6047415,6047416,6047417,6047418,6047419,6047420,6047421,6047421,6047421,6047422,6047423,6047453,6047454,6047455,6047456,6047457,6047458,6047459,6047461,6047462,6047463,6047469,6047483,6047484,6047485,6047486,6047487";"1";"0";"0";"-77";"-77";"f914ce65455cfcff00145517da5f82c3";"1";"0";"1662994394";"2022-09-12 14:53:14";"2022-09-12 15:03:47";"0000-00-00 00:00:00";"3";"5";"0";"7";"12";"18";"21";"30";"48";"54";"61";"64";"68";"82";"85";"0";"0";"0";"0";"0";"249";"256";"258";"274";"300";"379";"384";"387";"479";"490";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"494";"497";"500";"0";"502";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"527";"609";"617";"633"
"9";"0";"0";"31";"6047487";"-77";"520";"-77";"0.125";"1";"55b1add5fdf99b6731f04c5a";"2";"42";"650000";"23000";"5000";"1500";"1";"2";"1";"1";"-77";"-77";"-77";"-77";"-77";"2";"6";"4";"1";"4";"5";"5";"4";"1";"4";"5";"2";"6";"6";"6";"5";"4";"5";"6";"5";"5";"5";"50";"4";"4";"5";"5";"5";"4";"5";"4";"10";"4";"4";"1";"50";"4";"6";"4";"4";"4";"5";"5";"2";"5";"3";"4";"1";"1";"4";"2";"1";"6";"7";"5";"7";"1";"1";"1";"1";"1";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"4";"3";"1";"3";"3";"2";"1";"1";"1";"2";"2";"2";"1";"2";"5";"48000";"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.5112.102 Safari/537.36 OPR/90.0.4480.84";"https://app.prolific.co/";"0";"0";"-66";"0";"6047382,6047383,6047384,6047385,6047386,6047388,6047389,6047390,6047391,6047392,6047393,6047394,6047395,6047396,6047397,6047398,6047399,6047400,6047401,6047402,6047404,6047409,6047414,6047415,6047416,6047417,6047418,6047419,6047420,6047421,6047422,6047423,6047424,6047425,6047426,6047427,6047428,6047429,6047430,6047431,6047433,6047439,6047453,6047483,6047484,6047484,6047484,6047485,6047486,6047487";"1";"0";"0";"-77";"-77";"c64b97f419c0ef92a2af3c575fbea48d";"1";"0";"1662994901";"2022-09-12 15:01:41";"2022-09-12 15:10:21";"0000-00-00 00:00:00";"15";"24";"48";"0";"54";"62";"68";"80";"88";"99";"108";"113";"122";"133";"136";"206";"0";"0";"0";"0";"0";"211";"215";"233";"267";"333";"347";"350";"385";"394";"399";"402";"406";"409";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"414";"490";"505";"520"
"10";"0";"0";"31";"6047487";"-77";"1551";"-77";"0.625";"3";"62fe62f86ed9b1bb5d3e89a8";"1";"27";"0";"12000";"1200";"400";"3";"3";"2";"-77";"-77";"-77";"-66";"-77";"-77";"2";"3";"5";"5";"2";"6";"5";"5";"6";"5";"6";"7";"5";"6";"6";"6";"5";"6";"6";"5";"6";"6";"70";"6";"6";"6";"5";"6";"6";"6";"6";"84";"6";"6";"7";"82";"7";"7";"7";"5";"5";"5";"5";"6";"4";"6";"6";"7";"1";"6";"4";"5";"3";"7";"2";"3";"1";"1";"2";"-77";"-77";"-77";"1";"1";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"5";"2";"1";"3";"3";"2";"1";"1";"1";"1";"1";"2";"1";"1";"4";"34000";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36";"https://app.prolific.co/";"0";"0";"-66";"0";"6047382,6047383,6047384,6047385,6047386,6047388,6047389,6047390,6047391,6047392,6047393,6047394,6047395,6047396,6047397,6047398,6047399,6047404,6047405,6047407,6047408,6047409,6047414,6047409,6047414,6047415,6047416,6047417,6047418,6047419,6047420,6047421,6047421,6047421,6047422,6047423,6047424,6047425,6047426,6047427,6047433,6047434,6047435,6047436,6047437,6047439,6047453,6047483,6047484,6047485,6047486,6047487";"0";"1";"0";"-77";"-77";"5c7f64b535fc13fb4bbd19f37f77315f";"1";"0";"1662995062";"2022-09-12 15:04:22";"2022-09-12 15:30:13";"0000-00-00 00:00:00";"19";"23";"45";"0";"53";"70";"127";"154";"255";"283";"294";"502";"541";"626";"636";"0";"0";"0";"822";"0";"0";"914";"922";"997";"1031";"1097";"1126";"1137";"1212";"1237";"1244";"1248";"0";"0";"0";"1259";"1266";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1278";"1408";"1422";"1551"
"13";"0";"0";"31";"6047487";"-77";"1488";"-77";"0.375";"1";"5e2c7806bb1a6e000cf7f2e8";"1";"44";"0";"0";"500";"60";"3";"1";"2";"-77";"-77";"1";"-77";"-77";"-77";"2";"7";"4";"7";"5";"6";"6";"6";"6";"7";"7";"7";"7";"7";"7";"7";"7";"7";"7";"7";"7";"7";"25";"7";"7";"7";"7";"7";"7";"7";"7";"100";"7";"7";"6";"100";"7";"7";"7";"6";"6";"2";"4";"6";"4";"1";"5";"6";"2";"6";"1";"4";"7";"5";"4";"7";"1";"1";"2";"-77";"-77";"-77";"2";"-77";"2";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"5";"3";"1";"3";"2";"3";"3";"1";"2";"1";"1";"2";"1";"2";"3";"22000";"Mozilla/5.0 (X11; CrOS x86_64 14695.107.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.0.0 Safari/537.36";"https://app.prolific.co/";"0";"0";"-66";"0";"6047382,6047383,6047384,6047385,6047386,6047388,6047389,6047390,6047391,6047392,6047393,6047394,6047395,6047396,6047397,6047398,6047399,6047404,6047405,6047406,6047407,6047409,6047414,6047407,6047409,6047414,6047415,6047416,6047417,6047418,6047419,6047420,6047421,6047422,6047423,6047424,6047425,6047426,6047427,6047433,6047434,6047435,6047437,6047438,6047439,6047453,6047483,6047484,6047485,6047486,6047487";"1";"0";"0";"-77";"-77";"c415e186d4793860377f7798d8c6027c";"1";"0";"1662995263";"2022-09-12 15:07:43";"2022-09-12 15:32:31";"0000-00-00 00:00:00";"121";"127";"217";"0";"276";"295";"305";"325";"334";"349";"368";"387";"399";"424";"426";"0";"0";"720";"0";"0";"0";"724";"759";"797";"858";"1034";"1048";"1055";"1148";"1201";"1208";"1213";"0";"0";"0";"1221";"0";"1228";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1241";"1433";"1452";"1488"
"14";"0";"0";"31";"6047487";"-77";"1261";"-77";"0.75";"2";"55bd8669fdf99b5bfc7d4cfc";"3";"28";"1000";"0";"1000";"500";"3";"4";"2";"-77";"-77";"-77";"-77";"1";"-77";"2";"6";"5";"7";"4";"6";"5";"5";"5";"5";"5";"6";"7";"7";"7";"7";"5";"6";"6";"5";"5";"5";"60";"5";"5";"6";"6";"5";"5";"5";"5";"85";"5";"6";"5";"42";"6";"7";"7";"5";"4";"4";"5";"2";"5";"4";"6";"5";"2";"5";"2";"6";"2";"5";"2";"6";"1";"1";"1";"1";"2";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"6";"2";"1";"3";"3";"2";"2";"1";"3";"1";"1";"2";"1";"2";"3";"23000";"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36";"https://app.prolific.co/";"0";"0";"-66";"0";"6047382,6047383,6047384,6047386,6047387,6047388,6047389,6047390,6047391,6047392,6047393,6047394,6047395,6047396,6047397,6047398,6047399,6047404,6047409,6047410,6047411,6047412,6047414,6047415,6047416,6047417,6047418,6047419,6047420,6047421,6047422,6047423,6047424,6047425,6047426,6047427,6047428,6047429,6047430,6047431,6047433,6047439,6047453,6047483,6047484,6047485,6047486,6047487";"1";"1";"0";"-77";"-77";"310b47360540cb1626bf814e9dcf5bc3";"1";"0";"1662995358";"2022-09-12 15:09:18";"2022-09-12 15:30:19";"0000-00-00 00:00:00";"556";"560";"0";"574";"580";"585";"590";"599";"605";"622";"872";"879";"884";"896";"898";"0";"0";"0";"0";"1012";"0";"1018";"1020";"1048";"1072";"1129";"1138";"1139";"1173";"1178";"1183";"1187";"1189";"1192";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1197";"1232";"1239";"1261"
