duration,c_0001,c_0002,v_149,ob_reason,ob_age,ob_realEstate,ob_debt,ob_invest,ob_saving,ob_feelingRisk,ob_investPriority,ob_scenario,check_portfolioId,sim_ethnicity,sim_general,sim_gender,sim_age,sim_language,trust_general,trust_contact,trust_relationship,trust_care,trust_understand,trust_warmth,competence_general,competence_capable,competence_skillful,competence_intelligent,bene_values,bene_honest,bene_respect,li_implement,li_improvements,li_better,lic_amount,sat_happy,sat_right,sat_satisfied,benef_hurt,benef_needs,benef_help,benef_important,benef_welfare,recomm_propensity,loy_choose,loy_best,loy_loyal,lif_portion,learn_learn,learn_improve,learn_skills,att_bestInterest,att_trustworthy,att_ownInterest,att_commissions,fwb_situation,fwb_left,fwb_behind,person_reserved,person_lazy,person_stress,person_artistic,person_sociable,person_fault,person_through,person_nervous,person_imagination,patience_general,literacy1,literacy2,literacy3,literacy4,literacy5,literacy6,literacy7,check_portfolioType,check_advisorType,dem_gender,dem_ethnicity,dem_usResidence,dem_financialAdvisorUsage,dem_education,income,cond_race,cond_matching,cond,person_trusting,trust,affective_trust,competence,benevolence,li,satisfaction,benevolence_firm,loyalty,learn,attitude,fwb,openness,extraversion,neuroticism,conscientiousness,agreeableness,patience,literacy,portfolio_type,pc_passed,saw_hint,ac_passed
499,0.375,2,60de09e53c9f27c2d82ceb2b,3,54,0,0,500,500,1,3,2,none given,2,2,2,4,5,2,5,2,2,2,2,2,5,4,5,2,2,2,2,2,2,1.4000000000000001,2,2,2,5,2,2,2,2,0.7000000000000001,2,2,2,1.75,2,2,2,5,4,4,3,3,5,4,6,6,6,6,2,6,2,6,6,27.428571428571427,1,1,1,1,1,0,1,2,2,2,5,1,2,5,40000,white,matching,"white, matching",2,3,2,4,2,1.85,2,2.6,1.62,2,4,4,6,4,6,4,4,29,6,2,TRUE,2,TRUE
331,0.375,2,5dd4074feab0423daf012f92,4,24,0,11000,500,200,1,3,2,I didn't receive a portfolio ID,4,4,4,4,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3.15,6,6,6,6,6,6,6,6,4.55,6,6,6,3.7800000000000002,6,6,6,6,6,2,2,7,6,7,2,7,1,7,6,7,7,5,7,18.285714285714285,0,0,0,0,1,1,1,2,1,2,5,1,2,3,7000,white,matching,"white, matching",6,6,6,6,6,5.2875,6,6,5.14,6,4,6.666666666666667,7,4,3,7,6.5,3,3,2,TRUE,2,FALSE
678,0,1,5d9be6d4d6e5640016b915df,3,44,0,100000,500,0,1,1,1,2,7,1,1,3,7,4,4,3,5,5,7,7,7,7,7,7,7,7,4,5,5,5.25,6,6,6,7,7,7,7,7,7,7,7,7,1.4000000000000001,7,7,7,5,5,2,1,1,1,1,1,3,5,6,1,7,4,7,7,22.857142857142858,0,1,1,0,1,0,0,1,1,2,5,1,2,6,29000,white,matching,"white, matching",1,3.6666666666666665,5.666666666666667,7,7,4.8125,6,7,5.25,7,3.25,1,6.5,1,6,3.5,4,1,3,1,TRUE,1,TRUE
701,0.5,2,5d23ac815173fe001528bcd6,3,43,0,15000,500,300,2,3,2,2,7,3,1,2,5,5,4,3,5,4,2,6,7,7,7,6,4,6,4,5,2,3.15,5,5,5,5,5,4,4,3,3.5,5,5,3,3.5,5,5,5,5,4,4,4,6,7,4,3,7,3,7,6,6,6,1,4,18.285714285714285,1,0,0,1,0,0,0,2,2,2,5,1,2,5,750000,white,matching,"white, matching",2,4,3.6666666666666665,6.75,5.333333333333333,3.5375,5,4.2,3.53,5,4.25,5.666666666666667,5.5,4.5,2,6.5,4,1,2,2,TRUE,2,TRUE
456,0.375,1,631b4cf562dabf8337e59f1b,3,33,400000,300000,20000,1000,2,2,2,I didn't or the video reset itself before I could get it.,6,6,7,6,6,4,4,2,4,5,5,6,6,6,6,4,4,6,4,5,6,5.25,6,6,6,2,5,4,4,4,4.2,5,6,7,5.25,6,6,5,4,3,3,2,5,6,4,5,3,6,4,5,3,7,7,6,22.857142857142858,1,1,1,1,1,0,1,2,2,1,5,1,2,5,70000,white,matching,"white, matching",3,3.3333333333333335,4.666666666666667,6,4.666666666666667,5.0625,6,3.8,4.89,5.666666666666667,3,5,5,5,6.5,5,3,7,6,2,TRUE,1,FALSE
629,0.25,1,5d498ea0faa15b001acd4a5d,2,72,450000,200000,5000,500,1,2,2,didnt receive one,1,3,1,1,7,6,6,5,6,6,5,7,7,7,7,6,6,6,5,6,6,0.35000000000000003,6,6,6,6,6,6,6,6,6.58,6,6,6,0.28,6,7,6,6,6,7,5,7,6,7,3,7,3,2,6,7,6,1,5,27.428571428571427,1,0,1,0,0,1,1,1,1,2,5,1,2,4,75000,white,matching,"white, matching",6,5.666666666666667,5.666666666666667,7,6,4.3375,6,6,4.786,6.333333333333333,6,6.666666666666667,3.5,4.5,2,6.5,6.5,1,4,1,TRUE,1,TRUE
605,0.375,2,628d8714727e2811c42dd485,1,20,0,0,1000,800,3,1,2,2,7,5,7,3,7,5,6,2,2,6,7,7,6,6,7,6,5,7,5,7,6,3.5,6,6,6,5,4,4,4,2,3.5,4,4,2,0,6,7,7,6,5,3,2,3,3,4,2,2,4,5,5,4,6,7,7,27.428571428571427,1,1,1,1,1,0,1,2,2,1,5,1,2,3,0,white,matching,"white, matching",6,4.333333333333333,5,6.5,6,5.375,6,3.8,5,6.666666666666667,4,3.3333333333333335,6,3.5,5.5,4,5,5,6,2,TRUE,2,TRUE
2129,0.125,2,5ac4fbad1667e40001d8615e,2,64,350000,53000,2000,500,1,1,2,2,6,4,1,2,7,6,5,4,6,6,5,6,6,6,6,5,6,5,6,6,5,3.5,6,6,6,5,6,4,6,5,6.3,6,5,5,1.75,6,6,6,5,5,4,4,4,5,7,3,7,3,5,4,6,7,2,4,27.428571428571427,1,1,1,1,1,1,1,1,1,2,5,1,2,5,25000,white,matching,"white, matching",4,5,5.666666666666667,6,5.333333333333333,5.125,6,5.2,5.36,6,4.5,5.333333333333333,4.5,3.5,2.5,7,5,31,7,1,TRUE,2,FALSE
571,0.375,1,631b3f662a80d30582815536,1,42,200000,80000,20000,1000,2,1,3,Balanced Growth,6,5,7,6,6,5,4,2,2,5,3,6,6,5,5,3,3,5,5,4,4,6.6499999999999995,3,4,4,4,4,1,3,3,1.75,3,3,2,0.35000000000000003,4,5,4,6,6,5,2,2,2,1,3,2,5,2,3,5,5,5,5,22.857142857142858,1,1,0,1,1,0,1,2,2,1,5,1,1,6,70000,white,matching,"white, matching",6,3.6666666666666665,3.3333333333333335,5.5,3.6666666666666665,4.9125,3.6666666666666665,3,4.28,4.333333333333333,4.75,1.6666666666666667,3.5,3,5,3.5,5.5,19,5,2,TRUE,1,FALSE
2245,0.875,1,5da6139c002c29001335b5a2,3,28,0,0,50000,2500,3,4,3,5da6139c002c29001335b5a2,7,4,7,5,3,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4.97,7,7,7,7,7,7,7,5,6,2,4,7,6,7,3,7,3,6,2,7,6,2,6,32,1,1,1,1,1,0,1,3,1,1,5,1,2,5,65000,white,matching,"white, matching",6,6,6,7,7,7,7,7,6.594,7,4.25,6.666666666666667,6,2.5,2.5,6.5,6.5,30,6,3,TRUE,1,TRUE
