"lfdn";"external_lfdn";"tester";"dispcode";"lastpage";"quality";"duration";"s_0001";"c_0001";"c_0002";"v_149";"ob_reason";"ob_age";"ob_realEstate";"ob_debt";"ob_invest";"ob_saving";"ob_feelingRisk";"ob_investPriority";"ob_scenario";"stimulus_played1";"stimulus_played2";"stimulus_played3";"stimulus_played4";"stimulus_played5";"stimulus_played6";"check_portfolioId";"sim_ethnicity";"sim_general";"sim_gender";"sim_age";"sim_language";"trust_general";"trust_contact";"trust_relationship";"trust_care";"trust_understand";"trust_warmth";"competence_general";"competence_capable";"competence_skillful";"competence_intelligent";"bene_values";"bene_honest";"bene_respect";"li_implement";"li_improvements";"li_better";"lic_amount";"sat_happy";"sat_right";"sat_satisfied";"benef_hurt";"benef_needs";"benef_help";"benef_important";"benef_welfare";"recomm_propensity";"loy_choose";"loy_best";"loy_loyal";"lif_portion";"learn_learn";"learn_improve";"learn_skills";"att_bestInterest";"att_trustworthy";"att_ownInterest";"att_commissions";"fwb_situation";"fwb_left";"fwb_behind";"person_reserved";"person_trsuting";"person_lazy";"person_stress";"person_artistic";"person_sociable";"person_fault";"person_through";"person_nervous";"person_imagination";"patience154";"patience185";"patience202";"patience210";"patience215";"patience206";"patience193";"patience197";"patience189";"patience169";"patience177";"patience181";"patience173";"patience161";"patience165";"patience158";"patience125";"patience139";"patience146";"patience150";"patience143";"patience132";"patience136";"patience129";"patience112";"patience119";"patience122";"patience116";"patience106";"patience109";"patience103";"patience_general";"literacy1";"literacy2";"literacy3";"literacy4";"literacy5";"literacy6";"literacy7";"check_portfolioType";"check_advisorType";"dem_gender";"dem_ethnicity";"dem_usResidence";"dem_financialAdvisorUsage";"dem_education";"income";"browser";"referer";"device_type";"quota";"quota_assignment";"quota_rejected_id";"page_history";"hflip";"vflip";"output_mode";"javascript";"flash";"session_id";"language";"cleaned";"ats";"datetime";"date_of_last_access";"date_of_first_mail";"rts5994175";"rts5994197";"rts5994203";"rts5994205";"rts5994206";"rts5994207";"rts5994208";"rts5994210";"rts5994211";"rts5994212";"rts5995710";"rts5995723";"rts5995737";"rts5996044";"rts5996378";"rts5996433";"rts5996446";"rts5996448";"rts5996615";"rts5996617";"rts5996618";"rts5996619";"rts5996622";"rts5996625";"rts5996627";"rts5996628";"rts5996629";"rts5996630";"rts5996631";"rts5996634";"rts5996635";"rts5996638";"rts5996643";"rts5996646";"rts5996647";"rts5996651";"rts5996652";"rts5996653";"rts5996655";"rts5996656";"rts5996657";"rts5996658";"rts5996659";"rts5996660";"rts5996661";"rts5996662";"rts5997291";"rts5998525";"rts5998527";"rts5998537";"rts5999018";"rts5999019";"rts5999072";"rts5999150";"rts5999156";"rts5999159";"rts5999166";"rts5999168";"rts5999265";"rts5999314";"rts5999418";"rts6013412";"rts6013456";"rts6045267"
"405";"0";"0";"31";"5994163";"-77";"499";"-77";"0.375";"2";"60de09e53c9f27c2d82ceb2b";"3";"54";"0";"0";"500";"500";"1";"3";"2";"-77";"-77";"1";"-77";"-77";"-77";"none given";"2";"2";"2";"4";"5";"2";"5";"2";"2";"2";"2";"2";"5";"4";"5";"2";"2";"2";"2";"2";"2";"20";"2";"2";"2";"5";"2";"2";"2";"2";"10";"2";"2";"2";"25";"2";"2";"2";"5";"4";"4";"5";"5";"5";"4";"2";"2";"2";"2";"2";"2";"2";"2";"6";"6";"2";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"2";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"2";"-77";"-77";"-77";"1";"1";"-77";"6";"3";"1";"3";"3";"2";"2";"1";"2";"2";"2";"5";"1";"2";"5";"40000";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36";"https://app.prolific.co/";"0";"0";"-66";"0";"5994175,5999018,5999069,5999071,5999072,6013412,5994197,5994203,5994205,5994206,5994207,5994208,5994210,5994211,5994212,6013456,5995707,5995711,5999155,5999156,5999165,5995713,5999265,5999314,5998527,5995723,5995737,5996044,5999418,5996378,5996433,5996432,5996444,5996448,5996595,5996560,5996661,5996590,5996549,5996657,5996527,5996631,5996543,5997291,5998525,6045267,5998537,5994163";"1";"1";"0";"-77";"-77";"40ccaa82e9f95b0de2cd95498eb8da86";"1";"0";"1662991084";"2022-09-12 13:58:04";"2022-09-12 14:06:23";"0000-00-00 00:00:00";"11";"62";"68";"75";"79";"84";"89";"97";"104";"112";"0";"293";"358";"364";"401";"405";"0";"409";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"419";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"417";"0";"0";"0";"413";"0";"426";"475";"268";"499";"22";"0";"47";"0";"180";"0";"0";"0";"250";"256";"367";"56";"115";"483"
"406";"0";"0";"31";"5994163";"-77";"685";"-77";"0.125";"3";"5bf0b1ecaf38d100016bd609";"2";"37";"0";"0";"1500";"300";"2";"1";"1";"-77";"1";"-77";"-77";"-77";"-77";"Preserve Capital";"1";"2";"7";"5";"6";"6";"5";"2";"5";"6";"6";"6";"6";"7";"7";"6";"7";"6";"6";"5";"5";"80";"6";"5";"6";"4";"4";"5";"4";"4";"70";"6";"4";"5";"50";"4";"5";"3";"4";"4";"6";"6";"6";"2";"4";"6";"5";"6";"4";"3";"1";"2";"4";"5";"5";"2";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"2";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"1";"1";"1";"-77";"-77";"-77";"-77";"5";"3";"1";"3";"3";"2";"1";"2";"1";"1";"1";"5";"1";"2";"6";"20000";"Mozilla/5.0 (X11; CrOS x86_64 14816.131.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36";"https://app.prolific.co/";"0";"0";"-66";"0";"5994175,5999018,5999069,5999019,5999071,6013412,5994197,5994203,5994205,5994206,5994207,5994208,5994210,5994211,5994212,6013456,5995707,5999139,5999149,5999150,5995711,5995713,5999265,5999314,5998527,5995723,5995737,5996044,5999418,5996378,5996433,5996432,5996444,5996448,5996595,5996560,5996661,5996590,5996638,5996526,5996630,5996542,5996549,5997291,5998525,6045267,5998537,5994163";"1";"1";"0";"-77";"-77";"c5a09327cab766b622e6104dae2f4de8";"1";"0";"1662991699";"2022-09-12 14:08:19";"2022-09-12 14:19:44";"0000-00-00 00:00:00";"26";"100";"109";"116";"122";"133";"141";"149";"155";"163";"0";"357";"436";"448";"492";"505";"0";"510";"0";"0";"0";"0";"0";"0";"0";"0";"0";"520";"0";"0";"0";"517";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"514";"0";"528";"659";"310";"685";"30";"75";"0";"231";"0";"0";"0";"0";"274";"286";"452";"92";"166";"668"
"407";"0";"0";"31";"5994163";"-77";"1055";"-77";"0.625";"4";"6083a15be9a52b1775208372";"3";"35";"200000";"104000";"100";"400";"2";"3";"3";"-77";"-77";"-77";"1";"-77";"-77";"balanced growth";"2";"4";"7";"6";"7";"2";"3";"2";"6";"5";"6";"5";"5";"5";"5";"5";"3";"5";"2";"3";"3";"95";"2";"2";"2";"3";"4";"4";"4";"4";"10";"2";"2";"2";"0";"4";"4";"3";"2";"2";"6";"7";"3";"5";"3";"7";"4";"4";"3";"4";"2";"4";"3";"7";"3";"2";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"2";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"2";"-77";"-77";"-77";"1";"2";"-77";"6";"3";"1";"3";"3";"2";"1";"1";"2";"1";"1";"5";"1";"2";"5";"24000";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.5112.81 Safari/537.36 Edg/104.0.1293.54";"https://app.prolific.co/";"0";"0";"-66";"0";"5994175,5999018,5999069,5999071,5999072,6013412,5994197,5994203,5994205,5994206,5994207,5994208,5994210,5994211,5994212,6013456,5995707,5995711,5999155,5999165,5999166,5995713,5999265,5999314,5998527,5995723,5995737,5996044,5999418,5996378,5996433,5996432,5996444,5996448,5996595,5996560,5996661,5996590,5996549,5996657,5996527,5996631,5996543,5997291,5998525,6045267,5998537,5994163";"0";"1";"0";"-77";"-77";"84d2f91067b99bdaa05c7658cef9db3d";"1";"0";"1662992964";"2022-09-12 14:29:24";"2022-09-12 14:46:59";"0000-00-00 00:00:00";"94";"191";"198";"216";"228";"239";"250";"279";"308";"316";"0";"513";"652";"672";"771";"801";"0";"805";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"820";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"816";"0";"0";"0";"811";"0";"835";"1011";"458";"1055";"98";"0";"165";"0";"0";"0";"405";"0";"425";"432";"675";"182";"319";"1028"
"410";"0";"0";"31";"5994163";"-77";"474";"-77";"1";"3";"6317ff19f01ff161abb808d0";"1";"24";"0";"7000";"2000";"500";"4";"4";"3";"-77";"-77";"-77";"-77";"-77";"1";"n/a did not receive";"1";"3";"7";"4";"7";"7";"7";"7";"7";"7";"7";"7";"7";"7";"7";"7";"7";"7";"7";"7";"7";"98";"7";"7";"7";"7";"7";"7";"7";"7";"80";"7";"7";"7";"80";"7";"7";"7";"4";"4";"5";"6";"2";"4";"4";"5";"6";"5";"7";"1";"6";"2";"6";"2";"6";"1";"1";"1";"2";"-77";"2";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"5";"3";"1";"3";"3";"2";"2";"1";"3";"1";"1";"5";"1";"2";"5";"20000";"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:104.0) Gecko/20100101 Firefox/104.0";"https://app.prolific.co/";"0";"0";"-66";"0";"5994175,5999018,5999069,5999019,5999071,6013412,5994197,5994203,5994205,5994206,5994207,5994208,5994210,5994211,5994212,6013456,5995707,5995711,5995713,5999158,5999167,5999168,5999265,5999265,5999314,5998527,5995723,5995737,5996044,5999418,5996378,5996433,5996432,5996446,5996485,5996615,5996510,5996618,5996511,5996529,5996643,5996555,5996561,5996444,5997291,5998525,6045267,5998537,5994163";"0";"1";"0";"-77";"-77";"1927ca1433d425395f43f1352f7074ba";"1";"0";"1662993606";"2022-09-12 14:40:06";"2022-09-12 14:48:00";"0000-00-00 00:00:00";"6";"60";"67";"72";"77";"86";"91";"94";"98";"107";"0";"295";"335";"339";"382";"386";"389";"0";"392";"0";"396";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"398";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"403";"455";"283";"474";"16";"26";"0";"0";"0";"0";"0";"254";"266";"269";"342";"55";"110";"462"
"411";"0";"0";"31";"5994163";"-77";"735";"-77";"0.125";"4";"5bcded8f2d94a8000133e068";"3";"64";"42000";"0";"10000";"1000";"1";"2";"1";"-77";"1";"-77";"-77";"-77";"-77";"reserve capital";"1";"1";"1";"1";"7";"4";"4";"3";"3";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"25";"4";"4";"4";"4";"4";"3";"3";"3";"10";"4";"4";"3";"5";"3";"4";"4";"4";"4";"4";"4";"2";"7";"1";"7";"3";"2";"1";"4";"1";"4";"4";"7";"7";"2";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"2";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"2";"-77";"-77";"-77";"1";"1";"-77";"4";"3";"1";"2";"3";"2";"3";"1";"1";"3";"2";"5";"1";"2";"3";"45000";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36";"https://app.prolific.co/";"0";"0";"-66";"0";"5994175,5999018,5999069,5999071,5999072,6013412,5994197,5994203,5994205,5994206,5994207,5994208,5994210,5994211,5994212,6013456,5995707,5999139,5999149,5999150,5995711,5995713,5999265,5999314,5998527,5995723,5995737,5996044,5999418,5996378,5996433,5996432,5996444,5996448,5996595,5996560,5996661,5996590,5996549,5996657,5996527,5996631,5996543,5997291,5998525,6045267,5998537,5994163";"0";"1";"0";"-77";"-77";"93352a6d3387536d345391c1e835cfa3";"1";"0";"1662993899";"2022-09-12 14:44:59";"2022-09-12 14:57:14";"0000-00-00 00:00:00";"8";"100";"109";"120";"126";"137";"155";"163";"171";"181";"0";"394";"491";"505";"575";"582";"0";"587";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"599";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"596";"0";"0";"0";"593";"0";"608";"699";"338";"735";"15";"0";"74";"258";"0";"0";"0";"0";"307";"313";"507";"89";"183";"712"
"413";"0";"0";"31";"5994163";"-77";"331";"-77";"0.375";"2";"5dd4074feab0423daf012f92";"4";"24";"0";"11000";"500";"200";"1";"3";"2";"-77";"-77";"0";"-77";"-77";"-77";"I didn't receive a portfolio ID";"4";"4";"4";"4";"4";"6";"6";"6";"6";"6";"6";"6";"6";"6";"6";"6";"6";"6";"6";"6";"6";"45";"6";"6";"6";"6";"6";"6";"6";"6";"65";"6";"6";"6";"54";"6";"6";"6";"6";"6";"6";"6";"1";"6";"1";"6";"6";"1";"7";"1";"6";"1";"7";"5";"7";"1";"1";"1";"2";"-77";"1";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"4";"2";"2";"2";"2";"2";"1";"1";"2";"1";"2";"5";"1";"2";"3";"7000";"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36";"https://app.prolific.co/";"0";"0";"-66";"0";"5994175,5999018,5999069,5999071,5999072,6013412,5994197,5994203,5994205,5994206,5994207,5994208,5994210,5994211,5994212,6013456,5995707,5995711,5999155,5999156,5999165,5995713,5999265,5999265,5999265,5999314,5998527,5995723,5995737,5996044,5999418,5996378,5996433,5996432,5996446,5996485,5996615,5996510,5996618,5996511,5996529,5996643,5996555,5996561,5996444,5997291,5998525,6045267,5998537,5994163";"0";"0";"0";"-77";"-77";"10c3e80ddca4d67049331462db8647ae";"1";"0";"1662994143";"2022-09-12 14:49:03";"2022-09-12 14:54:34";"0000-00-00 00:00:00";"12";"29";"33";"38";"44";"49";"52";"56";"59";"64";"0";"216";"244";"247";"275";"278";"280";"0";"283";"0";"285";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"286";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"290";"311";"202";"331";"18";"0";"20";"0";"129";"0";"0";"0";"174";"176";"248";"23";"66";"319"
"415";"0";"0";"31";"5994163";"-77";"1388";"-77";"0.25";"3";"5dd773812b033b7177af88f1";"1";"43";"0";"0";"200";"400";"2";"1";"2";"-77";"-66";"-77";"-77";"-77";"-77";"2";"4";"4";"4";"4";"6";"4";"2";"2";"4";"4";"3";"6";"6";"5";"6";"4";"5";"5";"4";"4";"4";"20";"4";"6";"5";"6";"4";"4";"4";"4";"70";"4";"4";"3";"20";"4";"5";"4";"6";"6";"4";"4";"3";"4";"4";"6";"5";"3";"5";"2";"3";"1";"5";"3";"4";"1";"1";"1";"1";"1";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"4";"3";"2";"2";"3";"2";"3";"3";"1";"1";"2";"5";"1";"2";"5";"21000";"Mozilla/5.0 (X11; CrOS x86_64 14816.131.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36";"https://app.prolific.co/";"0";"0";"-66";"0";"5994175,5999018,5999069,5999019,5999071,6013412,5994197,5994203,5994205,5994206,5994207,5994208,5994210,5994211,5994212,6013456,5995707,5999139,5999149,5999150,5995711,5995713,5999265,5999314,5998527,5995723,5995737,5996044,5999418,5996378,5996433,5996432,5996446,5996485,5996615,5996510,5996618,5996511,5996619,5996529,5996555,5996561,5996444,5997291,5998525,6045267,5998537,5994163";"1";"1";"0";"-77";"-77";"cce408f0de56b375cfe3d795c21890f8";"1";"0";"1662994242";"2022-09-12 14:50:42";"2022-09-12 15:13:50";"0000-00-00 00:00:00";"238";"277";"303";"319";"331";"337";"342";"372";"517";"523";"0";"1072";"1160";"1169";"1227";"1232";"1236";"0";"1240";"0";"1243";"1246";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1251";"1342";"1039";"1388";"242";"263";"0";"701";"0";"0";"0";"0";"1005";"1008";"1172";"267";"526";"1371"
"416";"0";"0";"31";"5994163";"-77";"693";"-77";"0.25";"3";"6307bd3bb93e804d22332b3e";"3";"32";"115000";"10000";"5000";"500";"2";"2";"1";"-77";"1";"-77";"-77";"-77";"-77";"2";"1";"5";"7";"5";"4";"6";"5";"6";"5";"5";"5";"6";"5";"6";"5";"5";"6";"5";"7";"7";"7";"75";"6";"6";"6";"7";"7";"5";"6";"4";"80";"6";"6";"6";"75";"6";"6";"6";"6";"6";"2";"4";"4";"3";"1";"6";"5";"1";"7";"7";"2";"6";"7";"2";"1";"2";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"2";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"2";"-77";"-77";"-77";"2";"-77";"1";"7";"3";"1";"3";"3";"2";"1";"1";"1";"1";"1";"5";"1";"2";"3";"45000";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36";"https://app.prolific.co/";"0";"0";"-66";"0";"5994175,5999018,5999069,5999019,5999071,6013412,5994197,5994203,5994205,5994206,5994207,5994208,5994210,5994211,5994212,6013456,5995707,5999139,5999149,5999150,5995711,5995713,5999265,5999314,5998527,5995723,5995737,5996044,5999418,5996378,5996433,5996432,5996444,5996448,5996595,5996560,5996661,5996590,5996549,5996657,5996527,5996543,5996656,5997291,5998525,6045267,5998537,5994163";"1";"1";"0";"-77";"-77";"a84965049318dd223a1dc33b2e0b0cb6";"1";"0";"1662994311";"2022-09-12 14:51:51";"2022-09-12 15:03:24";"0000-00-00 00:00:00";"6";"101";"109";"145";"149";"163";"178";"189";"223";"243";"0";"358";"439";"457";"522";"538";"0";"541";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"547";"544";"0";"0";"0";"543";"0";"552";"665";"334";"693";"9";"84";"0";"313";"0";"0";"0";"0";"316";"319";"460";"92";"246";"678"
"417";"0";"0";"31";"5994163";"-77";"882";"-77";"0.75";"4";"60fcd9699c3def3068403b90";"1";"34";"0";"90000";"3000";"200";"3";"3";"3";"-77";"-77";"-77";"-77";"-77";"1";"2";"1";"3";"7";"5";"6";"6";"5";"5";"5";"5";"5";"7";"7";"7";"7";"6";"6";"7";"6";"6";"6";"30";"6";"5";"6";"7";"6";"5";"6";"5";"100";"6";"6";"4";"100";"6";"7";"7";"5";"5";"5";"6";"7";"2";"7";"6";"6";"5";"5";"2";"5";"2";"6";"3";"5";"1";"1";"1";"1";"1";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"6";"3";"1";"3";"3";"2";"2";"1";"3";"1";"1";"5";"1";"2";"5";"20000";"Mozilla/5.0 (X11; CrOS x86_64 14816.131.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36";"https://app.prolific.co/";"0";"0";"-66";"0";"5994175,5999018,5999069,5999071,5999072,6013412,5994197,5994203,5994205,5994206,5994207,5994208,5994210,5994211,5994212,6013456,5995707,5995711,5995713,5999158,5999167,5999168,5999168,5999168,5999168,5999265,5999314,5998527,5995723,5995737,5996044,5999418,5996378,5996433,5996432,5996446,5996485,5996615,5996510,5996618,5996511,5996619,5996529,5996555,5996561,5996444,5997291,5998525,6045267,5998537,5994163";"0";"0";"0";"-77";"-77";"817dfe78ec45be01622c7aa8149fb6f1";"1";"0";"1662994327";"2022-09-12 14:52:07";"2022-09-12 15:06:49";"0000-00-00 00:00:00";"8";"41";"51";"57";"65";"75";"81";"88";"98";"103";"0";"600";"675";"683";"741";"755";"765";"0";"769";"0";"774";"780";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"786";"850";"566";"882";"12";"0";"25";"0";"0";"0";"0";"530";"534";"542";"688";"33";"106";"863"
"418";"0";"0";"31";"5994163";"-77";"507";"-77";"0.25";"4";"5cf5134c8f8ff80019e76721";"3";"49";"300000";"33000";"5000";"1500";"2";"1";"2";"-77";"1";"-77";"-77";"-77";"-77";"2";"1";"3";"7";"4";"6";"3";"1";"1";"2";"4";"4";"3";"3";"3";"5";"4";"3";"4";"1";"1";"1";"0";"1";"1";"1";"3";"3";"1";"3";"3";"6";"1";"1";"1";"0";"4";"5";"1";"3";"3";"6";"6";"2";"7";"1";"6";"2";"4";"2";"3";"2";"6";"5";"6";"4";"2";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"1";"1";"2";"-77";"2";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"6";"3";"1";"3";"3";"2";"2";"1";"1";"1";"1";"5";"1";"2";"5";"115000";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36";"https://app.prolific.co/";"0";"0";"-66";"0";"5994175,5999018,5999069,5999071,5999072,6013412,5994197,5994203,5994205,5994206,5994207,5994208,5994210,5994211,5994212,6013456,5995707,5999139,5999149,5999150,5995711,5995713,5999265,5999314,5998527,5995723,5995737,5996044,5999418,5996378,5996433,5996432,5996444,5996448,5996595,5996617,5996580,5996635,5996520,5996539,5996652,5996553,5996560,5997291,5998525,6045267,5998537,5994163";"1";"0";"0";"-77";"-77";"3c6edafbe92b9c25ce73de03c306728f";"1";"0";"1662994328";"2022-09-12 14:52:08";"2022-09-12 15:00:35";"0000-00-00 00:00:00";"4";"36";"43";"50";"59";"68";"74";"79";"92";"101";"0";"234";"288";"305";"356";"363";"0";"367";"0";"370";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"373";"0";"0";"0";"0";"0";"377";"0";"0";"0";"0";"0";"0";"0";"0";"0";"387";"484";"198";"507";"7";"0";"25";"168";"0";"0";"0";"0";"171";"178";"307";"32";"103";"490"
